%%%%%%%%%%%%%%%%%%%%
% Data-Description %
%%%%%%%%%%%%%%%%%%%%
%
%                       Syskill and Webert Web Page Ratings
% 
% Abstract
% 
%    This database contains the HTML source of web pages plus the ratings
%    of a single user on these web pages. The web pages are on four
%    seperate subjects (Bands- recording artists; Goats; Sheep; and
%    BioMedical)
% 
% Data Type
% 
%    html web pages with user ratings
% 
% Sources
% 
%     Original Owner and Donor
% 
% [1]Michael Pazzani
% Department of Information and Computer Science,
% University of California, Irvine
% Irvine, CA 92697-3425
% [2]pazzani@ics.uci.edu
% 
%    Date Donated: October 20, 1998
% 
% Data Characteristics
% 
%    The HTML source of a web page is given. Users looked at each web page
%    and inidated on a 3 point scale (hot medium cold) 50-100 pages per
%    domain. However, this is realistic because we want to learn user
%    profiles from as few examples as possible so that users have an
%    incentitive to rate pages.
% 
% Data Format
% 
%    Each subject is in a seperate directory. Within each directory, there
%    is an file named "index". The index contains information on the other
%    files. Each entry is a line of the form:
%  file-name  |  rating  |  url  |  date-rated  |  title
% 
%    where file-name is the name of a file (usually an integer), rating is
%    hot, medium, or cold. There are so few medium's that mediums are
%    usually merged with cold in experiments.
% 
%    The other fields aren't used in learning, but they are collected by
%    the interface for other purposes. They are the url of the html source,
%    the date rated and the title of the web oage.
% 
% Past Usage
% 
%    Pazzani M., Billsus, D. (1997). Learning and Revising User Profiles:
%    The identification of interesting web sites. Machine Learning 27,
%    313-331
% 
%    Pazzani, M., Muramatsu J., Billsus, D. (1996). [3]Syskill & Webert:
%    Identifying interesting web sites. Proceedings of the National
%    Conference on Artificial Intelligence, Portland, OR. [4]PDF
%      _________________________________________________________________
% 
% 
%     [5]The UCI KDD Archive
%     [6]Information and Computer Science
%     [7]University of California, Irvine
%     Irvine, CA 92697-3425
% 
%    Last modified: July 12, 1999
% 
% References
% 
%    1. http://www.ics.uci.edu/~pazzani
%    2. mailto:pazzani@ics.uci.edu
%    3. http://www.ics.uci.edu/~pazzani/RTF/AAAI.html
%    4. http://www.ics.uci.edu/~pazzani/Publications/aaai-webert.pdf
%    5. http://kdd.ics.uci.edu/
%    6. http://www.ics.uci.edu/
%    7. http://www.uci.edu/
%%%%%%%%%%%%%%%%%%%%
% Task-Description %
%%%%%%%%%%%%%%%%%%%%
%                       Syskill and Webert Web Page Ratings
% 
% Task Type
% 
%    classification
% 
% Sources
% 
%     Donor
% 
% [1]Michael Pazzani
% Department of Information and Computer Science,
% University of California, Irvine
% Irvine, CA 92697-3425
% [2]pazzani@ics.uci.edu
% 
%    Date Donated: October 20, 1998
% 
% Problem Description
% 
%    The problem is to predict user ratings for web pages (within a subject
%    category). The HTML source of a web page is given. Users looked at
%    each web page and inidated on a 3 point scale (hot medium cold) 50-100
%    pages per domain. However, this is realistic because we want to learn
%    user profiles from as few examples as possible so that users have an
%    incentitive to rate pages.
% 
%    The accuracy of predicting ratings is reported in early publications.
%    Later publications used the precision at top N or the F-measure.
% 
% Results
% 
%    The initially study compared traditional meachine learning methods
%    with IR methods. A variety of learning algorithms worked acceptably,
%    including naive bayes, nearest neighbor, and Rocchio's method
% 
%    Pazzani M., Billsus, D. (1997). Learning and Revising User Profiles:
%    The identification of interesting web sites. Machine Learning 27,
%    313-331
% 
%    Pazzani, M., Muramatsu J., Billsus, D. (1996). [3]Syskill & Webert:
%    Identifying interesting web sites. Proceedings of the National
%    Conference on Artificial Intelligence, Portland, OR. [4]PDF
%      _________________________________________________________________
% 
% 
%     [5]The UCI KDD Archive
%     [6]Information and Computer Science
%     [7]University of California, Irvine
%     Irvine, CA 92697-3425
% 
%    Last modified: July 12, 1999
% 
% References
% 
%    1. http://www.ics.uci.edu/~pazzani
%    2. mailto:pazzani@ics.uci.edu
%    3. http://www.ics.uci.edu/~pazzani/RTF/AAAI.html
%    4. http://www.ics.uci.edu/~pazzani/Publications/aaai-webert.pdf
%    5. http://kdd.ics.uci.edu/
%    6. http://www.ics.uci.edu/
%    7. http://www.uci.edu/
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation SyskillWebert-Sheep

@attribute id STRING
@attribute text STRING
@attribute class {cold,hot}

@data
13,'[1]Previous item [2]Up One Level [3]Next item [4]Help Sheep shearing UF [5]Shearing sheep RT [6]Sheep [7]Wool _________________________________________________________________ [8][CoOL] [9][Search all CoOL documents] [10][Feedback] This page last changed: April 25, 1996 References 1. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04898.html 2. file://localhost/research/ml/datasets/uci/raw/output/toc/toc1.html 3. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04900.html 4. file://localhost/research/ml/datasets/uci/raw/output/fm/fm-help.html 5. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04895.html 6. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04897.html 7. file://localhost/research/ml/datasets/uci/raw/output/lc/lc06076.html 8. file://localhost/ 9. file://localhost/Architext/AT-cool_allquery.html 10. file://localhost/common/feedback.html',hot
14,'Australian sheep and wool handbook DJ Cottle (Ed) Univ. of New South Wales, Kensington, NSW _________________________________________________________________ This is the first comprehensive publication to bring together the principles on which all the activities in the industry are based. The 22 contributing authors from Departments of Agriculture, Universities and commercial organisations are all leaders in their field. This is an essential reference for graziers and those involved in the sheep and wool industry, undergraduate and postgraduate students. _________________________________________________________________ 1991, 499p., refs, illus, indexes, hardcover ISBN 0 909605 60 2 $69.95 Publisher Melbourne, VIC: Inkata Press [1]Return to publication list [2]How to order References 1. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/cpbk.html 2. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/order.html',hot
15,'Cerebellum, Superior and Inferior Colliculi [1][ISMAP:p7.gif] References 1. http://www.mit.edu:8001/img/afs/athena.mit.edu/org/b/bcs/www/p7.gif',cold
16,'Stuart\'s Sheep Page Many people think I\'m mad, but I do like sheep. Here\'s a clickable field of sheep, try clicking on them (each one of them has a message!) [1][ISMAP:sheeps.gif] Try my [2]sheep test Inspired by Steerpike\'s [3]Spot the Ball ,try my very own [4]Spot the Sheep. Enjoy viewing some lovely pictures of [5]ASCII sheep. _________________________________________________________________ Protein Structure Group, [6]Dept. of Chemistry, [7]University of York, Heslington, YORK, UK, YO1 5DD. 01904 432519 Produced by Stuart Priest priest@yorvic.york.ac.uk _________________________________________________________________ References 1. file://localhost/img/~priest/sheeps.conf 2. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/sheep-test.html 3. http://manor.york.ac.uk/htdocs/football.html 4. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/spotthesheep.html 5. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/sheep.ascii 6. http://www.york.ac.uk/depts/chem/welcome.htm 7. http://www.york.ac.uk/',cold
17,'Sheep Test This is a very simple test about sheep. What noise does Stuart\'s sheep make? ____________________ To submit the answer, press this button: Submit Query.',cold
18,'Optic chiasm, hypothalamus and oculomotor nerve [1][ISMAP:p11.gif] References 1. http://www.mit.edu:8001/img/afs/athena.mit.edu/org/b/bcs/www/p11.gif',cold
19,'Saggital View Click on the links below the picture to see a view of the corresponding coronal section. [1][ISMAP:sagmid.gif] [2]1 [3]2 [4]3 [5]4 [6]5 [7]6 [8]7 [9]8 [10]9 [11]10 [12]11 [13]12 [14]13 [15]14 [16]15 [17]16 [18]17 _________________________________________________________________ your_address@here References 1. http://www.mit.edu:8001/img/afs/athena.mit.edu/org/b/bcs/www/sagmid.map 2. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/aa.htm 3. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/bb.htm 4. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/cc.htm 5. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/dd.htm 6. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/ee.htm 7. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/ff.htm 8. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/gg.htm 9. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/hh.htm 10. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/ii.htm 11. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/jj.htm 12. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/kk.htm 13. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/ll.htm 14. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/mm.htm 15. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/nn.htm 16. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/oo.htm 17. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/pp.htm 18. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/qq.htm',cold
20,'[1]Previous item [2]Up One Level [3]Next item [4]Help Mountain sheep USE [5]Sheep _________________________________________________________________ [6][CoOL] [7][Search all CoOL documents] [8][Feedback] This page last changed: April 25, 1996 References 1. file://localhost/research/ml/datasets/uci/raw/output/lc/lc03495.html 2. file://localhost/research/ml/datasets/uci/raw/output/toc/toc1.html 3. file://localhost/research/ml/datasets/uci/raw/output/lc/lc03497.html 4. file://localhost/research/ml/datasets/uci/raw/output/fm/fm-help.html 5. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04897.html 6. file://localhost/ 7. file://localhost/Architext/AT-cool_allquery.html 8. file://localhost/common/feedback.html',cold
21,'Simple & Small Illustrations [kitten.gif] ``Kitten Reaching to Butterfly\'\' [rabbits.gif] ``Backward Glance at Beauty\'\' [sheep.gif] ``Sheep toward The Crescent\'\' [squirrel.gif] ``Squirrel Looking Demure\'\'',cold
22,'Flying Sheep _________________________________________________________________ From the first Monty Python\'s Flying Circus episode ever!!! _________________________________________________________________ (A tourist approaches a shepherd. The sounds of sheep and the outdoors are heard.) Tourist: Good afternoon. Shepherd: Eh, \'tis that. Tourist: You here on holiday? Shepherd: Nope, I live \'ere. Tourist: Oh, good for you. Uh...those ARE sheep aren\'t they? Shepherd: Yeh. Tourist: Hmm, thought they were. Only, what are they doing up in the trees? Shepherd: A fair question and one that in recent weeks \'as been much on my mind. It\'s my considered opinion that they\'re nestin\'. Tourist: Nesting? Shepherd: Aye. Tourist: Like birds? Shepherd: Exactly. It\'s my belief that these sheep are laborin\' under the misapprehension that they\'re birds. Observe their be\'avior. Take for a start the sheeps\' tendency to \'op about the field on their \'ind legs. Now witness their attmpts to fly from tree to tree. Notice that they do not so much fly as...plummet. Tourist: Yes, but why do they think they\'re birds? Shepherd: Another fair question. One thing is for sure, the sheep is not a creature of the air. They have enormous difficulty in the comparatively simple act of perchin\'. Trouble is, sheep are very dim. Once they get an idea in their \'eads, there\'s no shiftin\' it. Tourist: But where did they get the idea? Shepherd: From Harold. He\'s that most dangerous of creatures, a clever sheep. \'e\'s realized that a sheep\'s life consists of standin\' around for a few months and then bein\' eaten. And that\'s a depressing prospect for an ambitious sheep. Tourist: Well why don\'t just remove Harold? Shepherd: Because of the enormous commercial possibilities if \'e succeeds. _________________________________________________________________ _________________________________________________________________ References Visible links Hidden links: 1. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/gott_&_blandat_home.html',cold
