User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (332),66.60 (135),,2015-02-13 23:22:34+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.01 (469),66.60 (135),,2017-02-21 01:44:39+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.01 (465),66.60 (135),,2017-02-21 02:01:32+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (348),66.60 (135),,2017-02-21 02:01:35+00:00,subsetstep08.zip,True
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.01 (467),66.60 (135),,2017-02-21 02:01:36+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.00 (471),66.60 (135),,2017-02-21 02:01:37+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.01 (468),66.60 (135),,2017-02-21 02:01:39+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.01 (466),66.60 (135),,2017-02-21 02:01:40+00:00,subsetstep08.zip,False
wyl,0.8154 (54),0.7035 (145),0.8738 (43),0.7011 (55),0.3520 (36),1.00 (470),66.60 (135),,2017-02-21 02:01:42+00:00,subsetstep08.zip,False
claesenm,0.8112 (79),0.6938 (155),0.7547 (61),0.8332 (26),0.4284 (13),3.02 (294),66.80 (136),,2015-02-08 15:12:25+00:00,predictions_001.zip,False
dstarer,0.8150 (61),0.7838 (94),0.8156 (56),0.7009 (56),0.3446 (68),927.90 (67),67.00 (137),test submit,2015-01-29 14:46:27+00:00,sample_code_submission.zip,True
jana.kludas,0.8042 (96),0.6929 (158),0.9321 (27),0.8425 (18),0.3520 (36),3.05 (191),67.00 (137),,2015-02-13 07:29:12+00:00,sample_result_submission_v3.zip,False
chenjing,0.8154 (54),0.6979 (148),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (308),67.20 (138),model 7,2015-02-10 17:11:37+00:00,model7.zip,False
zaiwei,0.8154 (54),0.6979 (148),0.8738 (43),0.7011 (55),0.3520 (36),2.87 (448),67.20 (138),cadata - Guide (Stepwise) - 0.6.zip,2015-02-11 00:28:51+00:00,cadata - 0.6 - Guide(stepwisel) .zip,False
zongyan,0.8154 (54),0.6979 (148),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (207),67.20 (138),,2015-02-12 22:03:17+00:00,sample_result_submission.zip,False
zongyan,0.8154 (54),0.6979 (148),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (255),67.20 (138),,2015-02-12 22:13:42+00:00,sample_result_submission.zip,True
jana.kludas,0.1652 (127),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.99 (111),67.40 (139),,2015-01-21 13:32:11+00:00,sample_result_submission_v0006.zip,False
jana.kludas,0.1370 (128),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),4.52 (107),67.60 (140),,2015-01-21 07:32:52+00:00,sample_result_submission_v0005.zip,False
wyl,0.8154 (54),0.6966 (150),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (321),67.60 (140),,2015-02-12 00:30:30+00:00,substep10nt.zip,False
wyl,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (154),67.80 (141),,2015-02-06 23:56:21+00:00,stepwise.zip,False
wyl,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),3.10 (139),67.80 (141),,2015-02-07 02:45:10+00:00,stepwise05.zip,False
chenjing,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),5.91 (103),67.80 (141),model 2,2015-02-09 00:30:33+00:00,model2.zip,False
Anders,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (274),67.80 (141),,2015-02-09 05:15:07+00:00,sample_result_submission.zip,False
primachou,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (162),67.80 (141),,2015-02-12 10:00:32+00:00,model5.zip,False
zongyan,0.8154 (54),0.6956 (151),0.8738 (43),0.7011 (55),0.3520 (36),2.95 (390),67.80 (141),,2015-02-12 17:10:39+00:00,sample_result_submission.zip,False
wyl,0.8154 (54),0.6950 (152),0.8738 (43),0.7011 (55),0.3520 (36),2.98 (380),68.00 (142),,2015-02-07 02:07:32+00:00,stepwise.zip,False
john.smith.machine,0.8074 (86),0.7950 (27),0.8736 (44),0.0399 (74),-0.0531 (110),3.06 (179),68.20 (143),,2015-01-29 09:34:48+00:00,john.smith.machine.zip,False
zaiwei,0.8154 (54),0.6945 (153),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (331),68.20 (143),cadata - 0.9 - tunedSVM.zip,2015-02-12 03:41:05+00:00,cadata - 0.9 - tunedSVM.zip,False
Rong,0.8154 (54),0.6938 (154),0.8738 (43),0.7011 (55),0.3520 (36),2.99 (373),68.40 (144),,2015-02-10 17:48:47+00:00,005.zip,False
Rong,0.8154 (54),0.6937 (156),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (316),68.80 (145),,2015-02-10 18:07:36+00:00,006.zip,False
aad_freiburg,0.8123 (78),0.7839 (88),0.9478 (20),-1.0000 (82),0.3046 (77),3.13 (133),69.00 (146),,2015-01-09 09:08:11+00:00,submission.zip,False
john.smith.machine,0.8096 (82),0.7935 (32),0.5191 (63),0.0000 (78),0.0131 (92),3.03 (248),69.40 (147),,2015-01-28 07:48:49+00:00,john.smith.machine.zip,False
wyl,0.8154 (54),0.6906 (159),0.8738 (43),0.7011 (55),0.3520 (36),2.97 (381),69.40 (147),,2015-02-07 00:12:23+00:00,gforest.zip,False
chenjing,0.8154 (54),0.6896 (160),0.8738 (43),0.7011 (55),0.3520 (36),2.89 (431),69.60 (148),model 5,2015-02-09 01:29:08+00:00,model5.zip,False
Anders,0.8154 (54),0.6892 (161),0.8738 (43),0.7011 (55),0.3520 (36),6.65 (102),69.80 (149),,2015-02-09 05:31:41+00:00,sample_result_submission.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.8481 (16),0.3520 (36),3.01 (355),69.80 (149),,2015-02-10 07:35:49+00:00,sample_result_submission_v20.zip,False
zaiwei,0.8154 (54),0.6892 (162),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (291),70.00 (150),cadata - 0.8 - untunedSVM.zip,2015-02-11 18:34:01+00:00,cadata - 0.8 - untunedSVM.zip,False
Anders,0.8154 (54),0.6892 (163),0.8738 (43),0.7011 (55),0.3520 (36),2.97 (382),70.20 (151),,2015-02-09 05:01:28+00:00,sample_result_submission.zip,False
Muser_Hao,0.8154 (54),0.6883 (164),0.8738 (43),0.7011 (55),0.3520 (36),2.96 (385),70.40 (152),,2015-02-10 18:02:27+00:00,submit.zip,False
john.smith.machine,0.8065 (89),0.7950 (27),0.7843 (59),0.1732 (69),-0.0530 (109),3.03 (260),70.60 (153),,2015-01-29 14:19:01+00:00,john.smith.machine.zip,False
chenjing,0.8154 (54),0.6834 (165),0.8738 (43),0.7011 (55),0.3520 (36),3.11 (137),70.60 (153),,2015-02-12 18:01:11+00:00,subfor.zip,False
wyl,0.8154 (54),0.6822 (166),0.8738 (43),0.7011 (55),0.3520 (36),2.94 (395),70.80 (154),,2015-02-11 23:54:30+00:00,gfsubset08.zip,False
chenjing,0.8154 (54),0.6811 (167),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (435),71.00 (155),model 1,2015-02-08 22:43:55+00:00,model1.zip,False
Anders,0.8154 (54),0.6767 (168),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (307),71.20 (156),,2015-02-09 05:46:26+00:00,sample_result_submission.zip,False
Muser_Hao,0.8154 (54),0.6763 (169),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (276),71.40 (157),,2015-02-13 16:05:23+00:00,submit.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8633 (48),0.8075 (37),0.3746 (16),2.80 (457),71.80 (158),First attempt,2015-01-12 08:36:13+00:00,submission20150112.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8633 (48),0.8075 (37),0.3746 (16),2.63 (458),71.80 (158),First attempt (2),2015-01-12 09:04:36+00:00,submission20150112_2.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8633 (48),0.8075 (37),0.3746 (16),3.75 (113),71.80 (158),Final auto with phase 0 results (32),2015-01-28 10:12:16+00:00,submission20150128_3.zip,True
john.smith.machine,0.8045 (93),0.7950 (27),0.7843 (59),0.1187 (71),-0.0530 (109),2.99 (374),71.80 (158),,2015-01-29 14:51:53+00:00,john.smith.machine.zip,False
Muser_Hao,0.8154 (54),0.6657 (171),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (197),71.80 (158),,2015-02-13 16:21:52+00:00,submit.zip,True
john.smith.machine,0.8019 (97),0.7929 (35),0.7883 (58),0.0000 (78),0.0131 (92),3.03 (282),72.00 (159),,2015-01-27 14:44:49+00:00,john.smith.machine.zip,False
Chansoon,0.8154 (54),0.6596 (172),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (333),72.00 (159),Regression Tree with 8,2015-02-11 03:33:35+00:00,tree013.zip,False
john.smith.machine,0.7212 (120),0.7965 (20),0.7752 (60),0.4484 (62),0.0015 (99),1683.90 (3),72.20 (160),,2015-02-11 07:47:57+00:00,sample_result_submission.zip,False
wyl,0.8154 (54),0.6538 (173),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (258),72.20 (160),,2015-02-12 03:44:06+00:00,ols.zip,False
primachou,0.8154 (54),0.6415 (176),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (437),72.80 (161),,2015-02-12 07:51:53+00:00,model3.zip,False
Chansoon,0.8154 (54),0.6413 (177),0.8738 (43),0.7011 (55),0.3520 (36),2.91 (410),73.00 (162),Regression with 8 variables,2015-02-11 03:26:59+00:00,Regression011.zip,False
girldiary,0.8154 (54),0.6413 (177),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (287),73.00 (162),round0,2015-02-13 00:08:12+00:00,result0.zip,True
john.smith.machine,0.8009 (101),0.7919 (37),0.7883 (58),0.0000 (78),0.0131 (92),3.04 (222),73.20 (163),,2015-01-27 14:35:31+00:00,john.smith.machine.zip,False
Chansoon,0.8154 (54),0.6413 (178),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (298),73.20 (163),The second result using BMA,2015-02-10 02:13:34+00:00,BMA002.zip,False
john.smith.machine,0.8234 (9),0.7002 (146),0.9022 (41),0.0000 (78),0.0071 (93),2.89 (428),73.40 (164),,2015-02-10 09:33:28+00:00,john.smith.machine.zip,False
primachou,0.8154 (54),0.6411 (179),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (284),73.40 (164),,2015-02-11 22:35:05+00:00,model2.zip,False
john.smith.machine,0.7884 (109),0.7950 (26),0.5191 (63),0.0000 (78),0.0131 (92),3.03 (280),73.60 (165),,2015-01-28 05:50:05+00:00,john.smith.machine.zip,False
chenjing,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (261),73.60 (165),model 3,2015-02-09 00:45:23+00:00,model3.zip,False
chenjing,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (404),73.60 (165),model 6,2015-02-10 15:57:53+00:00,model6.zip,False
zaiwei,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (273),73.60 (165),cadata - Guide(polynomial) - 0.4,2015-02-10 16:51:18+00:00,cadata - Guide(polynomial) - 0.4.zip,False
chenjing,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),2.96 (384),73.60 (165),,2015-02-10 17:41:59+00:00,model8.zip,False
chenjing,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (286),73.60 (165),,2015-02-12 03:57:05+00:00,subpoly.zip,False
primachou,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (167),73.60 (165),,2015-02-12 10:16:14+00:00,model6.zip,False
zongyan,0.8154 (54),0.6410 (180),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (306),73.60 (165),,2015-02-12 22:10:55+00:00,sample_result_submission.zip,False
danny7,0.8154 (54),0.6409 (182),0.8738 (43),0.7011 (55),0.3520 (36),2.98 (379),74.00 (166),,2015-02-11 00:29:50+00:00,lasso2.zip,False
Harveyz,0.8154 (54),0.6409 (182),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (205),74.00 (166),,2015-02-12 17:03:00+00:00,attempt_result_submission.zip,True
gracekee,0.8154 (54),0.6409 (183),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (211),74.20 (167),,2015-02-10 04:11:14+00:00,sample_result_submission.zip,False
cengstrom2,0.8154 (54),0.6409 (183),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (322),74.20 (167),Submission 1: 2nd attempt,2015-02-10 18:48:27+00:00,result_submission_001.zip,False
cengstrom2,0.8154 (54),0.6409 (183),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (358),74.20 (167),"Re-submitting first submission, because it had the highest score.",2015-02-12 18:37:29+00:00,result_submission_001.zip,True
primachou,0.8154 (54),0.6409 (184),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (337),74.40 (168),,2015-02-10 15:19:14+00:00,model1.zip,False
primachou,0.8154 (54),0.6409 (184),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (177),74.40 (168),,2015-02-10 15:28:34+00:00,model1.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.9321 (27),0.8470 (17),0.3192 (74),3.01 (335),74.40 (168),,2015-02-13 22:46:15+00:00,sample_result_submission_v5.zip,False
Rong,0.8154 (54),0.6408 (185),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (243),74.60 (169),,2015-01-31 19:02:22+00:00,8ab7d2ee-510c-41fc-8cca-28bb07ea56bd.zip,False
Chansoon,0.8154 (54),0.6408 (185),0.8738 (43),0.7011 (55),0.3520 (36),2.94 (393),74.60 (169),The first result,2015-02-09 17:19:06+00:00,regression1.zip,False
gracekee,0.8154 (54),0.6408 (185),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (366),74.60 (169),,2015-02-09 21:30:41+00:00,sample_result_submission.zip,False
moli,0.8154 (54),0.6408 (185),0.8738 (43),0.7011 (55),0.3520 (36),3.08 (147),74.60 (169),,2015-02-12 21:43:35+00:00,model2.zip,True
justrun,0.8154 (54),0.6408 (185),0.8738 (43),0.7011 (55),0.3520 (36),3.09 (145),74.60 (169),,2015-02-13 01:22:37+00:00,sample_result_submission.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.9321 (27),0.8425 (18),0.3192 (74),3.11 (136),74.60 (169),,2015-02-13 11:15:20+00:00,sample_result_submission_v4.zip,False
zaiwei,0.8154 (54),0.6408 (186),0.8738 (43),0.7011 (55),0.3520 (36),2.94 (392),74.80 (170),cadata - LM - 1.0.zip,2015-02-12 06:23:19+00:00,cadata - 1.0 - LM.zip,False
Minjie_Fan,0.8154 (54),0.6408 (186),0.8738 (43),0.7011 (55),0.3520 (36),3.28 (121),74.80 (170),,2015-02-13 20:44:16+00:00,multilinear.zip,False
jana.kludas,0.8045 (94),0.7000 (147),0.8738 (43),0.7011 (55),0.3520 (36),3.23 (127),75.00 (171),,2015-01-23 13:52:24+00:00,sample_result_submission_v0009.zip,False
john.smith.machine,0.7630 (111),0.7945 (31),0.5191 (63),0.0000 (78),0.0131 (92),3.02 (323),75.00 (171),,2015-01-28 08:05:50+00:00,john.smith.machine.zip,False
joyce,0.8154 (54),0.6399 (187),0.8738 (43),0.7011 (55),0.3520 (36),2.96 (383),75.00 (171),,2015-02-12 05:18:04+00:00,11.lasso4.zip,False
cengstrom2,0.8154 (54),0.6331 (189),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (341),75.40 (172),Submission 2,2015-02-10 23:14:04+00:00,result_submission_002.zip,False
zongyan,0.8154 (54),0.6329 (190),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (201),75.60 (173),,2015-02-12 21:59:42+00:00,sample_result_submission.zip,False
zaiwei,0.8154 (54),0.6281 (191),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (165),75.80 (174),cadata - Guide(rF) - 0.5.zip,2015-02-10 17:14:28+00:00,cadata - Guide(rF) - 0.5.zip,False
wyl,0.8154 (54),0.6212 (192),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (153),76.00 (175),,2015-02-07 16:23:21+00:00,bg05.zip,False
jana.kludas,0.8066 (87),0.6476 (175),0.9321 (27),0.8470 (17),0.3192 (74),3.01 (353),76.00 (175),,2015-02-13 23:58:26+00:00,sample_result_submission_v52.zip,False
jana.kludas,0.8066 (87),0.6476 (175),0.9321 (27),0.8470 (17),0.3192 (74),3.01 (354),76.00 (175),,2017-02-21 01:31:23+00:00,sample_result_submission_v52.zip,True
Muser_Hao,0.8154 (54),0.6084 (194),0.8738 (43),0.7011 (55),0.3520 (36),2.89 (429),76.40 (176),,2015-02-13 15:42:15+00:00,submit.zip,False
jana.kludas,0.8045 (94),0.6933 (157),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (317),77.00 (177),,2015-01-26 12:25:16+00:00,sample_result_submission_v10.zip,False
z.dai@sheffield.ac.uk,0.8166 (34),-0.0417 (218),0.8156 (56),0.7013 (54),0.3545 (23),827.36 (72),77.00 (177),,2015-02-11 12:44:48+00:00,sample_submission.zip,True
jana.kludas,0.8045 (94),0.6929 (158),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (434),77.20 (178),,2015-01-26 12:36:47+00:00,sample_result_submission_v10.zip,False
girldiary,0.8154 (54),0.5990 (199),0.8738 (43),0.7011 (55),0.3520 (36),91.25 (83),77.40 (179),result0,2015-02-12 23:50:11+00:00,result0.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (279),77.60 (180),,2015-01-28 07:55:11+00:00,sample_result_submission_v10.zip,False
cengstrom2,0.8154 (54),0.5944 (201),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (202),77.80 (181),Submission 3,2015-02-12 18:31:27+00:00,result_submission_003.zip,False
joyce,0.8154 (54),0.5866 (202),0.8738 (43),0.7011 (55),0.3520 (36),3.36 (117),78.00 (182),,2015-02-12 16:12:20+00:00,14.red_bagging.zip,False
zhenwen,0.8148 (67),0.6410 (181),0.8156 (56),0.7011 (55),0.3528 (32),1209.23 (22),78.20 (183),,2015-02-11 13:59:52+00:00,sample_submission.zip,True
justrun,0.8154 (54),0.5762 (203),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (204),78.20 (183),,2015-02-13 01:26:15+00:00,sample_result_submission.zip,False
joyce,0.8154 (54),0.5740 (204),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (174),78.40 (184),,2015-02-11 04:16:52+00:00,red_bagging.zip,False
Chansoon,0.8154 (54),0.5550 (205),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (166),78.60 (185),tree with multi-linear,2015-02-11 05:12:59+00:00,tree015.zip,True
chenjing,0.8154 (54),0.5529 (206),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (180),78.80 (186),,2015-02-12 18:08:23+00:00,submedian.zip,False
justrun,0.8154 (54),0.5304 (207),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (234),79.00 (187),,2015-02-13 01:32:03+00:00,sample_result_submission.zip,True
aad_freiburg,-1.0000 (130),0.7839 (88),0.9478 (19),-1.0000 (82),0.3046 (77),3.32 (118),79.20 (188),,2015-01-08 14:22:09+00:00,submission.zip,False
lakerwsl,0.8154 (54),0.5029 (208),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (278),79.20 (188),Third Try,2015-02-08 22:58:36+00:00,RegressionTree.zip,False
lakerwsl,0.8154 (54),0.5029 (208),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (424),79.20 (188),Fourth try,2015-02-09 00:53:13+00:00,GAM.zip,False
aad_freiburg,-1.0000 (130),0.7839 (88),0.9478 (20),-1.0000 (82),0.3046 (77),4.28 (109),79.40 (189),,2015-01-08 15:37:07+00:00,submission.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.3444 (64),0.3520 (36),2.86 (451),79.40 (189),,2015-02-09 16:35:54+00:00,sample_result_submission_v20.zip,False
jana.kludas,0.8045 (94),0.6673 (170),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (250),79.60 (190),,2015-01-22 12:37:03+00:00,sample_result_submission_v0008.zip,False
aad_freiburg,0.7988 (104),0.7257 (133),0.9318 (28),0.7426 (46),0.0782 (87),1187.76 (36),79.60 (190),,2015-01-23 09:32:29+00:00,submission_code.zip,False
RUIXIA_LI,0.8154 (54),0.4339 (211),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (192),79.80 (191),,2015-02-13 07:20:01+00:00,Archive.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.2392 (67),0.3520 (36),3.00 (362),80.00 (192),,2015-02-09 14:51:17+00:00,sample_result_submission_v20.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.2392 (67),0.3520 (36),3.06 (169),80.00 (192),,2015-02-09 15:58:28+00:00,sample_result_submission_v20.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.1677 (70),0.3520 (36),3.03 (251),80.60 (193),,2015-02-09 12:30:10+00:00,sample_result_submission_v2.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),0.1677 (70),0.3520 (36),3.02 (325),80.60 (193),,2015-02-09 14:30:07+00:00,sample_result_submission_v2.zip,False
claesenm,0.8112 (79),0.6938 (155),0.7547 (61),0.8332 (26),0.1973 (83),3.05 (188),80.80 (194),"Initial tuning with simple models (SVC, SVR, Naive Bayes).
",2015-02-08 13:28:04+00:00,predictions_000.zip,False
moli,0.8154 (54),0.1012 (216),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (163),80.80 (194),,2015-02-11 22:28:28+00:00,model1.zip,False
matthias.vonrohr,0.7884 (110),0.6520 (174),0.8714 (46),0.7009 (57),0.3570 (18),103.61 (80),81.00 (195),,2015-02-01 17:31:29+00:00,automl_sample_submission_15-02-01-17-42.zip,False
matthias.vonrohr,0.7884 (110),0.6520 (174),0.8714 (46),0.7009 (57),0.3570 (18),101.70 (81),81.00 (195),,2015-02-01 17:34:29+00:00,automl_sample_submission_15-02-01-17-42.zip,True
Rong,0.8154 (54),-0.4539 (219),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (257),81.40 (196),,2015-02-10 15:58:52+00:00,003.zip,False
zaiwei,0.8154 (54),-0.6850 (220),0.8738 (43),0.7011 (55),0.3520 (36),4.47 (108),81.60 (197),cadata - 0.7 - SVM.zip,2015-02-11 18:25:52+00:00,cadata - 0.7 - SVM.zip,False
wyl,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.88 (433),82.00 (198),,2015-02-07 00:04:00+00:00,gforest.zip,False
zaiwei,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (283),82.00 (198),Random Forest on Cadata.data,2015-02-10 01:42:43+00:00,cadata - RF - 0.1.zip,False
primachou,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (288),82.00 (198),,2015-02-10 14:06:25+00:00,model1.zip,False
primachou,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.93 (397),82.00 (198),,2015-02-10 14:36:54+00:00,model1.zip,False
zongyan,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (342),82.00 (198),,2015-02-10 17:01:14+00:00,sample_result_submission.zip,False
Muser_Hao,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (212),82.00 (198),,2015-02-10 18:17:03+00:00,submit.zip,False
joyce,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.94 (391),82.00 (198),,2015-02-11 03:20:33+00:00,red_lasso.zip,False
joyce,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.91 (416),82.00 (198),,2015-02-11 04:09:16+00:00,red2_lasso.zip,False
justrun,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.93 (112),82.00 (198),,2015-02-12 02:01:39+00:00,sample_result_submission.zip,False
justrun,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (189),82.00 (198),,2015-02-12 02:32:28+00:00,sample_result_submission.zip,False
justrun,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (245),82.00 (198),,2015-02-12 03:04:00+00:00,sample_result_submission.zip,False
justrun,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.08 (150),82.00 (198),,2015-02-12 03:04:15+00:00,sample_result_submission.zip,False
justrun,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (315),82.00 (198),,2015-02-12 03:22:57+00:00,sample_result_submission.zip,False
danny7,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (311),82.00 (198),,2015-02-12 04:12:21+00:00,randomforest.zip,False
zaiwei,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (418),82.00 (198),cadata - 0.9 - LM.zip,2015-02-12 06:18:57+00:00,cadata - 1.0 - LM.zip,False
primachou,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (270),82.00 (198),,2015-02-12 09:06:43+00:00,model4.zip,False
danny7,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.09 (144),82.00 (198),,2015-02-12 17:53:42+00:00,rf2000.zip,False
ChenLi,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (218),82.00 (198),,2015-02-12 23:54:56+00:00,sample_result_submission.zip,False
ChenLi,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),2.91 (414),82.00 (198),,2015-02-13 00:07:27+00:00,sample_result_submission.zip,False
hoho,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (185),82.00 (198),,2015-02-13 04:12:33+00:00,,True
RUIXIA_LI,0.8154 (54),-1.0000 (222),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (238),82.00 (198),,2015-02-13 07:03:50+00:00,Archive.zip,False
Chansoon,0.8154 (54),-1.3574 (223),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (186),82.20 (199),Regression with quadratic and interactions,2015-02-11 04:15:56+00:00,Regression014.zip,False
jana.kludas,0.8042 (96),0.6929 (158),0.8738 (43),-0.0316 (79),0.3520 (36),3.02 (304),82.40 (200),,2015-02-09 14:42:22+00:00,sample_result_submission_v2.zip,False
Muser_Hao,0.8154 (54),-2.2805 (224),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (305),82.40 (200),,2015-02-12 16:07:50+00:00,submit.zip,False
