% This file contains 9 sets of sanitized user data drawn from the
% command histories of 8 UNIX computer users at Purdue over the course
% of up to 2 years (USER0 and USER1 were generated by the same person,
% working on different platforms and different projects).  The data is
% drawn from tcsh(1) history files and has been parsed and sanitized to
% remove filenames, user names, directory structures, web addresses,
% host names, and other possibly identifying items.  Command names,
% flags, and shell metacharacters have been preserved.  Additionally,
% **SOF** and **EOF** tokens have been inserted at the start and end of
% shell sessions, respectively.  Sessions are concatenated by date order
% and tokens appear in the order issued within the shell session, but no
% timestamps are included in this data.  For example, the two sessions:
% 
%         # Start session 1
%         cd ~/private/docs
%         ls -laF | more
%         cat foo.txt bar.txt zorch.txt > somewhere
%         exit
%         # End session 1
% 
%         # Start session 2
%         cd ~/games/
%         xquake &
%         fg
%         vi scores.txt
%         mailx john_doe@somewhere.com
%         exit
%         # End session 2
% 
% would be represented by the token stream
% 
%         **SOF**
%         cd
%         <1>                     # one "file name" argument
%         ls
%         -laF
%         |
%         more
%         cat
%         <3>                     # three "file" arguments
%         >
%         <1>
%         exit
%         **EOF**
%         **SOF**
%         cd
%         <1>
%         xquake
%         &
%         fg
%         vi
%         <1>
%         mailx
%         <1>
%         exit
%         **EOF**
% 
% 
% This data is made available under conditions of anonymity for the
% contributing users and may be used for research purposes only.
% Summaries and research results employing this data may be published,
% but literal tokens or token sequences from the data may not be
% published except with express consent of the originators of the data.
% No portion of this data may be released with or included in a
% commercial product, nor may any portion of this data be sold or
% redistributed for profit or as part of of a profit-making endeavor.
% 
% Please direct any questions regarding this data to Terran Lane:
% terran@ecn.purdue.edu.
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation UNIX_user_data

@attribute history INTEGER
@attribute session STRING
@attribute user {USER0,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8}

@data
0070,'elm ls rm <1> rm <1> vi <1> ls rm <2> ls finger <1> mail <1> finger <1> rlogin <1> elm finger <1> date last <1> r <1> cd <1> ls vi <1> ls vi <1> fg vi <1> ls ll cp <2> vi <1> exit fg finger <1> finger <1> exit',USER0
0071,'ping <1> mail <1> date finger <1> exit',USER0
0072,'elm cd <1> ls vi <1> finger <1> finger <1> exit',USER0
0073,'elm exit',USER0
0074,'ping <1> rlogin <1> finger <1> finger <1> exit',USER0
0075,'elm exit',USER0
0076,'elm vi <1> rm <1> fg finger <1> fg r <1> exit',USER0
0077,'finger <1> rlogin <1> exit',USER0
0078,'elm finger <1> exit',USER0
0079,'setenv <2> ls cd <1> ls cd <1> ls vi <1> vi <1> & more <1> maker exit',USER0
0080,'finger <1> exit',USER0
0081,'elm cd <1> ls vi <1> exit',USER0
0082,'cd <1> ls lp -d <1> lp -d <2>',USER0
0083,'setenv <2> cd <1> ls vi <1> exit',USER0
0084,'elm exit',USER0
0085,'rlogin <1>',USER0
0086,'elm cd <1> ls vi <1> vi <1> fg',USER0
0087,'elm rlogin <1> fg rlogin <1> fg finger <1> date exit',USER0
0088,'elm elm finger <1> exit',USER0
0089,'elm',USER0
0090,'elm cd <1> ls vi <1> fg exit',USER0
0091,'ls cd <1> ls vi <1> ls vi <1> exit',USER0
0092,'finger <1> finger <1> finger <1> logout',USER0
0093,'finger <1> elm exit',USER0
0094,'ls cd <1> ls vi <1> exit',USER0
0095,'cd <1> ls more <1> exit',USER0
0096,'elm exit',USER0
0097,'elm exit',USER0
0098,'ls cd <1> ls vi <1> exit',USER0
0099,'elm finger <1> exit',USER0
0100,'r <1> elm lwinfo <1> fg',USER0
0101,'elm exit',USER0
0102,'elm exit',USER0
0103,'rlogin <1> exit',USER0
0104,'exit',USER0
0105,'elm exit',USER0
0106,'exit',USER0
0107,'elm exit',USER0
0108,'elm man <1> vacatin vacation vacation rm <1> vacation rm <1> elm fg ls exit',USER0
0109,'elm finger <1> exit',USER0
0110,'elm elm finger <1> finger <1> finger <1> finger <1> inger <1> r -l <2> exit',USER0
0111,'elm elm logout',USER0
0112,'elm exit',USER0
0113,'elm finger <1> fg',USER0
0114,'elm exit',USER0
0115,'elm exit',USER0
0116,'cd <1> ls more <1>',USER0
0117,'elm logout',USER0
0118,'elm finger <1> exit',USER0
0119,'cd <1> ls cp <2> vi <1> exit',USER0
0120,'elm exit',USER0
0121,'elm',USER0
0122,'vi <1> vi <1> vi <1> ph <2> finger <1> finger <1> finger <1> finger <1> finger <1> lname <2> lname <1> | grep <1> finger <1> finger <1> ping <1> finger <1> finger <1> finger <1> date exit',USER0
0123,'ls cd cd <1> pwd alias source <1> cd source <1> exit',USER0
0124,'elm finger <1> g fg exit',USER0
0125,'source <1> source <1> source <1> elm ls cd <1> vi <1> chmod <2> vi <1> cd terran_data $PATH terran_data vi <1> <GENSYM:2>/terran_data ll <1> ll cd <1> ls vi <1> rm -f <1> rm -f <1> mv <2> mkdir <1> cd <1> tar <3> ls cd <1> ls unrm -l unrm <1> unrm -l | more ls cd <1> ls fg exit',USER0
0126,'source <1> source <1> cd <1> ls unrm -l unrm -l | more cd elm',USER0
0127,'source <1> source <1> unrm -l ls <1> ls <1> exit',USER0
0128,'source <1> source <1> source <1> elm exit',USER0
0129,'source <1> source <1> ls cd <1> ls vi <1> cp <2> ls <GENSYM:0>/winnow <GENSYM:0>/vi <1> setenv <2> maker ls mv <2> cat <1> cd elm',USER0
0130,'source <1> source <1> elm finger <1> fg finger <1> finger <1> fg cd <1> ls vi <1> vi <1> fg exit',USER0
0131,'source <1> source <1> elm elm finger <1> exit',USER0
0132,'source <1> source <1> elm finger <1> finger <1> finger <1> fg ls cd <1> ls <GENSYM:0>/vi <1> fg',USER0
0133,'source <1> source <1> ps -aux | grep <1> kill -9 <1> kill -9 <1> elm rm <1> elm',USER0
0134,'elm rlogin <1> lm elm exit',USER0
0135,'source <1> source <1> ls cd <1> ls vi <1> ls more <1> more <1> <GENSYM:0>/vi <1> exit',USER0
0136,'source <1> source <1> elm date elm ls cd <1> ls fg cd fg exit',USER0
0137,'source <1> source <1> elm cd <1> ls <GENSYM:0>/vi <1> setenv <2> maker ls cat <1> <GENSYM:0>/vi <1> exit',USER0
0138,'source <1> source <1> elm finger <1> finger <1> finger <1> r <1> exit',USER0
0139,'source <1> source <1> elm date finger <1> finger <1> exit',USER0
0140,'ls env vi <1> logout',USER0
0141,'source <1> more <1> source <1> ls vi <1> logout',USER0
0142,'logout',USER0
0143,'logout',USER0
0144,'logout',USER0
0145,'logout',USER0
0146,'logout',USER0
0147,'elm cls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages mail <1> rm <1> unrm <1> ls cd <1> ls cd quota -v more <1> rm <1> ls more <1> rm <1> ls finger <1> r <1> exit',USER0
0148,'elm finger <1> vi <1> elm elm exit',USER0
0149,'finger <1> date finger <1> finger <1> elm exit',USER0
0150,'elm cd <1> ls cp <2> vi <1> cd finger <1> fg exit',USER0
0151,'elm',USER0
0152,'elm finger <1> fg finger <1> fg finger <1> finger <1> finger <1> fg ping <1> fg cd <1> vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> fg exit',USER0
0153,'finger <1> elm finger <1> r <1> exit',USER0
0154,'elm ping <1> finger <1> finger <1> finger <1> rlogin <1> cls fg cd <1> ls vi <1> exit',USER0
0155,'elm',USER0
0156,'ping <1> elm finger <1> rloin -l <2> rlogin -l <2> fg rlogin -l <2> g fg finger <1> fg finger <1> fg',USER0
0157,'elm ps -aux | grep <1> kill -9 <1> rm <1> elm finger <1> finger <1> finger <1> fg finger <1> fg ls rm -ri <1> rm -rf <1> rm <1> findfile findfile <1> cd <1> more <1> ls cd <1> cd <1> ls ll <1> cd <1> cd ls',USER0
0158,'finger <1> exit',USER0
0159,'ls cd <1> ls more <1> cd more <1> rm <1> ls more <1> ls exit',USER0
0160,'elm ls cd <1> ls vi <1> cd fg fg elm weather fg exit',USER0
0161,'elm cd <1> <GENSYM:0>/vi <1> cd <1> ls more <1> cd fg back ls vi <1> exit',USER0
0162,'elm',USER0
0163,'ls finger <1> mail <2> finger <1> finger <1> finger <1> finger <1> finger <1> finger <1> exit',USER0
0164,'mail <1> exit',USER0
0165,'f <1> f <1> elm',USER0
0166,'elm ls alias alias | more fg cd <1> ls more <1> finger <1> finger <1> fg ls vi <1> setenv <2> vi <1> man <1> man <1> man <1> man <1> man -k <1> man -k man <1> cd fg',USER0
0167,'elm exit',USER0
0168,'elm cp <2> cd <1> ls ll ll ls cd elm fg elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> ls fg finger <1> fg r -l <2> exit',USER0
0169,'elm',USER0
0170,'ps -ef | grep <1> ps -aux | grep <1> finger <1> r <1> ls elm fg finger <1> elm rm <1> finger <1> elm finger <1> fg elm finger <1> fg finger <1> finger <1> finger <1> ph <2> fg finger <1> finger <1> rlogin <1> fg rlogin -l <2> fg finger <1> fg cd <1> ls vi <1> fg',USER0
0171,'rlogin -l <2> exit',USER0
0172,'elm finger <1> finger <1> ph <2> ph <1> finger <1> fg ls mkdir <1> cp <2> ls <1> ls cd <1> ls <GENSYM:0>/vi <1> terran_data pwd finger <1> date finger <1> cd ls ll cd <1> ls cd <1> cp <2> cat <1> rm -f <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> ls cd <1> ls <GENSYM:0>/vi <1> cd ls cp <2> terran_data ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> cat <1> finger <1> cat <1> pwd rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> cd <1> tar <3> cd uuencode <2> > <1> cd <1> ll cd cp <2> ls <1> cat <1> rm -f <1> rm -f <1> rm -rf <1> mv <2> mkdir <1> ls <1> cd <1> tar <3> cd uuencode <2> > <1> ll <1> mailx -s <2> < <1> ls ls -a ls -al rm -rf <1> ls <1> ls <1> ls rm -rf <1> fg finger <1> fg cd <1> ls vi <1> ls fg finger <1> finger <1> finger <1> fg finger <1> fg finger <1> finger <1> finger <1> date fg elm elm finger <1> fg finger <1> fg ls cp <2> vi <1> exit',USER0
0173,'elm quota -v ll ftp <1> rm <1> quota -v ls quota -v fg elm rlogin <1> f ps -aux | grep <1> exit',USER0
0174,'elm exit',USER0
0175,'quota -v ls elm rlogin <1> fg date at <1> at <1> fg cls ls exit',USER0
0178,'elm date exit',USER0
0179,'elm log',USER0
0180,'elm',USER0
0181,'finger <1> elm lpq lpq -o lpq -Pmsl2 lpq -Pmsl20 lpq -Pmsl2 fg finger finger <1> date ps -ef | ps -ef | grep <1> ps -aux | grep <1> cls fg exit',USER0
0182,'elm exit',USER0
0183,'setenv <2> maker maker exit',USER0
0184,'ls exit',USER0
0185,'which <1> alias <1> alias <GENSYM:3>/talk <1> <GENSYM:3>/talk <1> vi <1> <GENSYM:0>/vi <1> elm finger <1> finger <1> fg elm exit',USER0
0186,'setenv <2> maker finger <1> ls uptime who finger <1> cd <1> ls cd <1> ls <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls mkdir <1> cd <1> ls ls unalias <1> vi <1> vi <1> ls mv <3> ls mv <2> ls vi <1>',USER0
0187,'elm finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> talk <1> j %1 finger <1> finger <1> finger <1> j % %2 talk <1> fg finger <1> fg finger <1> fg rlogin <1> ping <1> fg rlogin <1> finger <1> j fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> finger <1> finger <1> fg finger <1> r <1> fg finger <1> fg finger <1> finger <1> finger <1> fg finger <1> finger <1> fg talk <1> rlogin -l <2> fg fg exit',USER0
0188,'talk <1> exit',USER0
0189,'rlogin -l <2> exit',USER0
0190,'elm ls cd <1> ls finger ftp <1> ls mv <2> mv <2> vi <1> ls vi <1> ls vi <1> ls vi <1> ftp <1> ls cp <2> vi <1> vi <1> ls vi <1> ls rm <1> unrm -l date finger <1> fg ftp <1> finger <1> ftp <1> ftp <1> cd fg rlogin <1>',USER0
0191,'cd <1> ls cat <1> ls exit',USER0
0193,'vi <1> exit',USER0
0194,'rlogin <1>',USER0
0195,'elm',USER0
0196,'source <1> source <1> cls finger <1> finger <1> finger <1> finger <1> cls xlock ls vi <1> xlock passwd passwd rlogin <1> exit',USER0
0197,'source <1> source <1> ls rm <2> quota -v cd <1> ls cd <1> ls cd <1> ls maker cd cd <1> ls ghostview <1> finger <1> cls date finger <1> finger <1> finger <1> finer <1> finger <1> ls cdls cd ls cd <1> ls rm <1> vi <1> ls ls quota -v ls cd ls cd <1> ls cd <1> ls man <1> man <1> ls gzip <1> gzip <1> cd <1> ls tar <3> cd <1> ls -l chown <2> ls ls -l chgrp <1> newgrp <1> cd <1> ls cd <1> ls rm <1> rm <1> chgrp <2> gzip <1> ls gzip <1> & cd <1> ls cd <1> ls ls rm -rf <1> rm -rf <1> & cd <1> ls ll <1> newgrp <1> ls cd <1> ls cd cd <1> ls cd <1> ls ls ls -l rm -rf <1> cd <1> ls -l cd <1> ls rm <1> cd <1> ls rmdir <1> rlogin <1> ls ls ls -l mkdir <1> cp <2> mv <2> newgrp <1> cd exit',USER0
0198,'source <1> source <1> source <1> ls ls -l chown <2> vi <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls ls -l rm <1> rm <1> ls ls -l mv <2> cp <2> rm <1> ls -l mv <2> cp <2> ls -l rm <1> mv <2> cp <2> ls -l cp <2> mv <2> ls ls -l mv <2> cp <2> rm <1> ls ls -l cd <1> ls ls -l | more mv <2> cp <2> rm <1> ls -l chown <2> cp <2> ls -l rm <1> mv <2> ls ls -l ls -l | more cd <1> cd <1> tar <3> ls cd <1> ls gzip <1> ls -l <1> man <1> ls more <1> l ls more <1> ls cp <2> gzip <1> ls rm <1> gzip <1> & cd <1> ls rm <1> j kill -9 <1> ls exit',USER0
0199,'chown <2> source <1> source <1> source <1> ls ls -l | more chown <2> mv <2> cp <2> ls -l | more mkdir <1> cd <1> ls ls -l cp <2> cd <1> ls ll back ls rm <1> cd <1> rmdir <1> ls ls -l | more chmod <2> ls -l | more chown <2> chown <2> date cp <2> mv <2> ls -l <1> ls -l cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> mv <2> cp <2> ; mv <2> rm <1> ls -l cp <2> ; mv <2> rlogin <1> ls rm <1> ls -l | more cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> cp <2> ; mv <2> ls -l | more chown <1> chown <2> chown <2> ls -l <1> cd <1> ls cd <1> ls ls -l rm <1> cd <1> rm <1> cd <1> rmdir <1> ls cd <1> ls rm <1> cd <1> ls rm <1> ls -l cd <1> ls rm <1> ls -l newgrp <1> exit',USER0
0200,'rlogin -l <2> pwd exit',USER0
0201,'pwd rm <1> ls -l rm <1> exit',USER0
0202,'rlogin -l <2> exit',USER0
0203,'pwd mv <2> ls -l cd <1> source <1> source <1> source <1> ls ls ls -l rm <1> LS LS ls ls -l rlogin -l <2> exit',USER0
0204,'rlogin -l <2> ls quota -v cd <1> ls cd <1> mv <2> ls cd <1> ls cd <1> ls mv <2> cd <1> ls rmdir <1> ls cd <1> ls ls ls -l ls -l rm -rf <1> rm -rf <1> ls ls -l l cd <1> ls -l rm <1> ls cd <1> ls cd <1> ls -l rm -rf <1> cd <1> ls quota -v exit',USER0
0205,'rlogin -l <2> exit',USER0
0206,'source <1> source <1> netscape &',USER0
0207,'source <1> source <1> xlock ls cd <1> ls ghostview <1> date',USER0
0208,'elm exit',USER0
0209,'rlogin <1>',USER0
0210,'elm exit',USER0
0211,'source <1> source <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls xlock lwinfo <1> lwinfo <1> xlock rlogin -l <2> cls lwinfo <1> lwinfo ` <1>',USER0
0212,'source <1> source <1> xhost <1> rlogin <1> exit',USER0
0213,'rlogin <1> exit',USER0
0214,'maker maker source <1> source <1> ls lwinfo <1> xlock xlock lwinfo <1> ls cd <1> ls cd <1> ls ghostview <1> rm <1> ls ll <1> date ftp <1> linc xlock exit',USER0
0215,'rlogin <1> exit',USER0
0216,'rlogin <1> exit',USER0
0217,'ls elm elm finger <1> finger <1> finger <1> fg exit',USER0
0218,'ls cd <1> ls rm <1> quota -v cd <1> ls cd finger <1> elm finger <1> ftp <1> fg cd <1> ls cd <1> ls mv <2> vi <1> ls lwinfo <1> fg ls diff <2> vi <1> vi <1> diff <2> ls mv <2> fg exit',USER0
0219,'rlogin <1> rlogin <1> rlogin -l <2> exit',USER0
0220,'elm quota -v ls cd <1> ls cd <1> ls ll <1> ls -R <1> ls -R <1> ls -R | grep <1> cd <1> ls cd <1> ls cd <1> ls ll cd <1> ll cd <1> cd <1> ls cd <1> cd <1> ls cd ls ll <1> ll <1> cd ls rm <1> quota -v quota -v cd <1> ls vi <1> quota -v ls <1> uptime rutime ruptime finger <1> finger <1> finger <1> quota -v cd cd <1> ls cd <1> ls rm -rf <1> rm -rf <1> quota -v cd <1> ls cd <1> ls cd <1> ls cd <1> ls ls -l ls cd <1> ls cd <1> ls cd <1> ll cd <1> ls cd <1> ls cd <1> ls more <1> ls more <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> cd <1> ls cd fg exit',USER0
0221,'netscape & lwinfo <1> lwinfo <1> exit',USER0
0222,'rlogin <1> exit',USER0
0223,'maker xlock xlock source <1> source <1> ls cd <1> ls ls cd <1> ls rm <1> rm <1> ls <1> ll <1> ghostview <1> ftp <1> rlogin -l <2> ls <1> ghostview <1> rlogin <1> uptime ls ghostview <1> vi <1> exit',USER0
0224,'rlogin <1> exit',USER0
0225,'rlogin <1> exit',USER0
0226,'ls cd <1> ls cd <1> ls cd <1> ls lp -d <2> lp -d <2> lp -d <2> lp -d <2> elm finger <1> cls cd ls finger <1> date exit',USER0
0227,'elm finger <1> mail <1> exit',USER0
0228,'elm cd <1> ls more <1> fg',USER0
0229,'ls elm fg finger <1> finger <1> mail exit',USER0
0230,'elm exit',USER0
0231,'exit',USER0
0232,'elm elm ls rm <1> fg exit',USER0
0233,'rlogin <1> exit',USER0
0234,'elm exit',USER0
0235,'source <1> source <1> xhost <1> finger <1> xlock cd <1> ls vi <1> ls cp <2> vi <1> finger <1> exit',USER0
0236,'rlogin <1> exit',USER0
0237,'rlogin <1>',USER0
0238,'rlogin <1>',USER0
